Year    24 and Under PA 25-27 PA    28-30 PA    31-33 PA    34+ PA
1980    16.3%   29.6%   26.7%   18.7%   8.8%
1981    13.7%   28.9%   27.0%   19.8%   10.6%
1982    16.1%   27.6%   22.8%   20.7%   12.8%
1983    17.4%   27.0%   23.9%   16.4%   15.3%
1984    19.8%   25.0%   23.4%   15.7%   16.0%
1985    15.6%   29.2%   23.6%   13.0%   18.5%
1986    16.1%   30.8%   22.2%   14.3%   16.7%
1987    18.1%   32.2%   22.4%   14.0%   13.3%
1988    17.1%   31.0%   26.0%   14.7%   11.1%
1989    14.2%   29.9%   29.1%   17.0%   9.7%
1990    13.3%   30.5%   29.5%   15.4%   11.3%
1991    15.2%   29.7%   27.4%   16.5%   11.3%
1992    18.0%   27.5%   25.2%   19.4%   9.9%
1993    14.6%   30.8%   27.0%   17.1%   10.5%
1994    10.3%   31.4%   29.0%   18.1%   11.2%
1995    12.6%   31.5%   26.8%   17.3%   11.8%
1996    12.5%   27.2%   27.2%   21.4%   11.6%
1997    11.9%   26.1%   28.9%   21.0%   12.0%
1998    16.2%   22.6%   27.8%   20.2%   13.2%
1999    15.1%   24.9%   25.1%   19.9%   15.0%
2000    13.3%   25.0%   24.7%   21.1%   15.8%
2001    11.7%   28.8%   23.7%   19.6%   16.1%
2002    11.6%   26.8%   26.5%   19.0%   16.2%
2003    10.0%   29.5%   25.7%   18.4%   16.2%
2004    11.2%   25.3%   29.5%   17.7%   16.4%
2005    12.5%   23.0%   28.1%   20.5%   15.9%
2006    15.3%   22.6%   26.6%   18.1%   17.4%
2007    16.3%   24.4%   22.3%   22.2%   14.9%
2008    17.4%   25.7%   23.1%   18.0%   15.8%
2009    11.9%   30.5%   24.3%   19.4%   13.8%
2010    14.6%   28.8%   23.4%   16.8%   16.3%
2011    15.4%   28.8%   24.3%   16.7%   14.9%
2012    13.7%   28.9%   28.2%   17.0%   12.2%
2013    16.0%   29.7%   25.7%   16.4%   12.1%
2014    17.1%   27.0%   27.1%   18.3%   10.6%
2015    17.4%   26.3%   26.0%   20.0%   10.3%
2016    16.3%   28.4%   26.2%   19.2%   9.9%
2017    17.7%   30.5%   23.2%   18.4%   10.2%
2018    16.2%   33.3%   24.5%   15.9%   10.1%
2019    15.6%   33.5%   25.7%   16.3%   8.9%
