Season,24 and Under WAR/200 IP,25-27 WAR/200 IP,28-30 WAR/200 IP,31-33 WAR/200 IP,34+ WAR/200 IP
1980,2.1,1.7,1.8,1.8,2.6
1981,2.3,1.7,1.9,1.7,2.5
1982,2.2,1.8,1.8,1.8,2.6
1983,2.1,1.9,2.2,1.5,2.2
1984,2.3,1.9,2.0,1.6,2.1
1985,2.3,1.9,1.8,1.8,2.0
1986,2.1,2.0,1.9,2.0,1.9
1987,1.9,1.8,2.1,2.1,2.2
1988,2.0,2.2,1.7,1.9,2.1
1989,2.0,2.1,1.8,2.1,1.8
1990,2.0,2.3,1.6,1.9,2.1
1991,2.0,1.9,2.1,1.8,2.1
1992,2.0,2.1,2.0,1.8,2.0
1993,1.6,2.0,2.3,2.2,1.7
1994,1.6,2.0,2.2,2.6,1.1
1995,1.2,1.9,2.2,2.5,2.1
1996,1.5,1.6,2.2,2.6,2.3
1997,1.7,1.7,2.2,2.2,2.5
1998,1.6,1.8,2.0,2.3,2.4
1999,1.8,2.0,1.7,2.1,2.4
2000,1.8,1.8,2.1,1.9,2.6
2001,2.0,1.6,2.1,1.8,2.5
2002,1.8,1.9,1.9,1.9,2.5
2003,2.0,1.9,1.9,2.0,2.2
2004,1.9,2.0,2.1,1.8,2.1
2005,2.2,2.0,1.9,2.0,2.0
2006,1.9,2.1,1.9,1.6,2.2
2007,1.8,2.0,1.9,2.2,2.0
2008,2.3,1.9,2.1,2.2,1.3
2009,1.9,2.2,2.0,1.9,1.6
2010,2.3,2.1,1.8,1.9,1.6
2011,2.0,2.1,2.0,1.6,1.9
2012,2.1,2.0,1.9,2.0,2.1
2013,2.1,2.1,1.9,1.9,1.7
2014,2.0,2.1,2.3,1.3,1.5
2015,2.0,2.2,2.0,1.9,1.3
2016,2.2,2.0,2.1,1.8,1.3
2017,2.1,1.8,2.2,2.1,1.5
2018,2.1,1.8,2.2,2.0,1.9
2019,2.0,1.8,1.9,2.2,2.3
