Year,24 and Under WAR,25-27 WAR,28-30 WAR,31-33 WAR,34+ WAR
1980,0.140,0.307,0.273,0.211,0.068
1981,0.132,0.311,0.259,0.183,0.115
1982,0.144,0.299,0.198,0.226,0.133
1983,0.146,0.324,0.233,0.151,0.146
1984,0.218,0.265,0.273,0.146,0.099
1985,0.135,0.319,0.266,0.119,0.161
1986,0.116,0.344,0.246,0.157,0.137
1987,0.159,0.358,0.233,0.151,0.099
1988,0.198,0.291,0.259,0.179,0.072
1989,0.120,0.289,0.339,0.178,0.073
1990,0.107,0.333,0.301,0.158,0.100
1991,0.120,0.293,0.299,0.181,0.106
1992,0.178,0.285,0.258,0.199,0.080
1993,0.123,0.317,0.291,0.172,0.097
1994,0.049,0.327,0.327,0.160,0.136
1995,0.068,0.319,0.343,0.179,0.091
1996,0.083,0.216,0.318,0.275,0.108
1997,0.090,0.202,0.363,0.248,0.097
1998,0.148,0.189,0.302,0.236,0.125
1999,0.083,0.288,0.234,0.245,0.150
2000,0.084,0.272,0.288,0.200,0.156
2001,0.073,0.293,0.297,0.198,0.140
2002,0.070,0.282,0.295,0.200,0.152
2003,0.078,0.308,0.261,0.184,0.169
2004,0.115,0.244,0.336,0.162,0.143
2005,0.104,0.261,0.335,0.199,0.101
2006,0.151,0.255,0.308,0.165,0.121
2007,0.204,0.248,0.237,0.220,0.090
2008,0.158,0.269,0.278,0.156,0.139
2009,0.124,0.335,0.261,0.163,0.117
2010,0.153,0.289,0.263,0.181,0.115
2011,0.152,0.340,0.315,0.105,0.087
2012,0.109,0.291,0.355,0.167,0.078
2013,0.151,0.334,0.316,0.132,0.067
2014,0.176,0.274,0.308,0.172,0.070
2015,0.215,0.274,0.280,0.164,0.067
2016,0.211,0.277,0.279,0.163,0.070
2017,0.191,0.338,0.266,0.159,0.045
2018,0.168,0.382,0.281,0.094,0.075
2019,0.181,0.366,0.296,0.112,0.044
